PassengerID,PassengerName,MemberStatus,Age,Gender,AmountSpent,Address,ContactTitle,Phone
1000,Lou Anna Tan,Gold,29,F,41.40,"Blk 26, Telok Blangah Crescent #22-87, Singapore 0409",Ms,88580897
1001,Wong Sook Huey,Gold,37,F,671.00,"Blk 1007 Teresa Ville Lower Delta Road #06-02, Singapore 0410",Ms,87669747
1002,Ng Choon Seng,Bronze,23,M,631.80,"Blk 63 Bishan St 21 #06-01, Singapore 1057",Mr,90274984
1003,Chew Teck Kuan,Bronze,63,M,644.90,"Blk 109 Bedok North Rd #06-2316, Singapore 1046",Mr,92380943
1111,Steven Ou,Silver,61,M,445.10,"Blk 244, Bukit Panjang Ring Road, #11-184, Singapore 2367",Mr,87150838
1634,Sridharan Jayanthi,Gold,55,F,615.10,"Blk 232, Jurong East Street 21 #02-436, Singapore 1234",Ms,86848253
1681,Terence Lim,Bronze,30,M,596.20,"Blk 99, Balestier Road, #12-168, Singapore 1232",Mr,92210824
1810,Vanessa Ong,Bronze,32,F,809.70,"Blk 20, Eunos Crescent, #04-2965, Singapore 1400",Ms,92700883
1811,Koh Ting Ting,Silver,57,F,215.20,"Blk 61, Upper Paya Lebar Road, Singapore 1953",Ms,92415399
1818,Chionh Choon Lee,Gold,57,M,71.30,"Blk 89, Zion Road, #16-137, Singapore 0316",Mr,92246417
2131,Jon,Gold,64,F,834.50,"Block 88 Demsey Road #01-01, Singapore 1234",Ms,90191253
2233,Too Siew Hong,Silver,35,F,218.30,"Blk 749, Pasir Ris St 71, #09-66, Singapore 1651",Ms,91033498
2270,Chao Tah Jin Alex,Bronze,22,M,870.70,"Blk 12, Dover Close East, #08-208, Singapore 1027",Mr,92373520
2323,Richard Kwan,Gold,26,M,895.20,"Blk 27, Marine Crescent, #05-05, Singapore 2345",Mr,86427018
2345,Ng Teck Kie Anthony,Gold,56,M,739.30,"Blk 105, Gangsa Road, #02-103, Singapore 2367",Mr,91805125
2626,Steven Teo,Gold,56,M,81.70,"Blk 253, Kim Keat Link, #01-126 Singapore 2345",Mr,90656197
2669,Boh Lee Ming Lynn,Bronze,23,F,419.90,"Blk 671, Woodlands Dr 71 #04-51, Singapore 0512",Ms,92219334
2688,Kathleen Loh Swat Hong,Gold,38,F,391.60,"Blk 56, #08-161 Telok Blangah Heights, Singapore 0410",Ms,89993761
2741,Goh Chee Eng,Bronze,45,F,259.10,Blk 267 Sembawang Drive #08-349 Singapore 2369,Ms,91527509
2820,Ng Wee Hock John,Gold,56,M,662.20,"Blk 417, Woodlands St 41, #02-143, Singapore 2573",Mr,86479216
2828,Cheryl Song,Bronze,35,F,835.90,"Blk 26, Bayshore Road, #23-07, Singapore 1647",Ms,90673545
2876,Kan May Yoke Michelle,Bronze,43,F,566.10,"Blk 710 Ang Mo Kio Ave 8 #04-2613, Singapore 2056",Ms,89201948
2983,Cheryl Tan,Gold,37,F,139.90,"Blk 84, Telok Blangah Heights, #06-323, Singapore 1004",Ms,91111051
3845,Tan Choon Heong,Gold,21,M,108.20,"Blk 303, Shunfu Road, #03-59, Singapore 4567",Mr,89058865
4312,Leong Wai Fun,Gold,23,F,562.50,"Blk 43, Hindhede Walk, #04-06, Singapore 1234",Ms,91682172
4321,Kok Kah Chee,Bronze,51,M,995.20,"Blk 224, Jurong North St 2, #100-01, Singapore 2264",Mr,91688871
4567,Abdul Zaidi,Gold,29,M,316.50,"Blk 24, Telok Blangah Crescent, #14-14, Singapore 0409",Mr,90039648
5108,Cho Wee Weng,Gold,50,M,248.00,"Blk 208, Toa Payoh North, #08-1271, Singapore 1234",Mr,91165012
5156,Lee Boon Kiat,Gold,32,M,739.10,"26A, Lengkong Satu, Singapore 1441",Mr,89581509
5168,Constance Yong,Bronze,46,F,306.40,Blk 673 Bukit Batok St 67 #08-987 Singapore 1968,Ms,87705662
5489,Ang Kim Beng,Gold,45,M,320.90,Blk 208 Bedok North St 3 #12-234 Singapore 1644,Mr,93459333
5568,Kam Teng Mun,Gold,26,M,178.40,"Blk 894, Tampines St 81,#10-933,Singapore 1646",Mr,90378790
5968,Tan Wei Wei,Gold,48,F,716.00,"3, Kismis Place, Singapore 2159",Ms,89939655
6542,Lam Yen Hsia,Bronze,44,F,818.00,"Blk 92, Bedok North Ave 4, #08-1491, Singapore 1646",Ms,87020416
6598,Choey Choon Yen,Gold,28,M,880.10,"30, Dedap Road, Singapore 2880",Mr,88847439
6628,Margaret Ng,Gold,30,F,571.90,"Blk 835, Hougang Green, #11-221, Singapore 1953",Ms,86933988
6932,Ng Hwee Ling,Gold,37,F,178.30,"280, Bedok Road, Singapore 1646",Ms,88169761
6969,Jason Young,Bronze,52,M,158.50,blk 48 dorset rd #24-111 singapore 0821,Mr,90430649
7345,P Ravichandran,Silver,34,M,787.30,"Blk 612, Clementi West Street 1, #09-290, Singapore 2612",Mr,89127767
7616,Cheong Pei Sian,Silver,57,F,925.70,"8 Westwood Walk, Singapore 1234",Ms,94003039
7856,Rajaram Venkatesh,Gold,57,M,45.60,"Blk 143, Petir road, #07-232, Singapore 3226",Mr,89854916
8080,Chan Chin Fung,Silver,56,M,249.50,"6 Dover Rise, #17-11, Singapore 1234",Mr,87418806
8756,Lu Yun Christine,Silver,22,F,805.60,"Blk 302, Clementi Ave 4, #05-539, Singapore 0302",Ms,93206562
8788,Fu Shou Jeen,Gold,59,M,754.30,"9 Broadrick Road, Singapore 1543",Mr,86703981
8888,Kelvin Koh,Silver,53,M,160.00,"Blk 25, Towner Road, #04-09, Singapore 2345",Mr,89135801
8929,Neo Keng Hoe,Silver,25,M,834.40,Blk 492 Yishun Ave 4 #18-168 Singapore 2776,Mr,86525240
8973,Loke Je Hong,Gold,50,M,511.80,"503 Elias Road, Singapore 1851",Mr,88576657
9394,Khoo Chee Huat,Silver,24,M,29.80,"Blk 315, Ubi Avenue 1, #05-393, Singapore 1234",Mr,87560883
9847,Low Soo Chiew,Silver,51,M,333.20,"Blk 42, Bedok South Road, #05-747, Singapore 1646",Mr,88698362
9999,Seah Yang Hwee Raymond,Gold,61,M,671.80,"Blk 410, Sembawang Drive, #14-768, Singapore 1675",Mr,92468715
10001,Raymond Goh,Silver,,M,518.10,"Blk 192, Lor 4 Toa Payoh #01-674 Singapore 310192",Mr,89254736
10002,Derek Qiu,Silver,,M,663.90,50 Raffles Place #22-03a Land Tower Singapore 48623,Mr,86137942
10003,Alan Su,Silver,,M,423.60,46 Penjuru Lane Singapore 609206,Mr,89619939
10004,Andrew Xiong,Silver,,M,311.10,100 Tras Street #18-01 Amara Corporate Tower Singapore 79027,Mr,89012079
10005,Patrick Gu,Silver,,M,512.50,218 Orchard Rd #01-07 Singapore 238851,Mr,88167677
10006,Meera Gopal,Bronze,,F,165.80,27 Jln Ishak Singapore 419358,Ms,93103897
10007,Vera Miao,Silver,,F,264.10,144 Tampines Street 12 #01-392 Singapore 521144,Ms,88376474
10008,Iris Liao,Bronze,,F,136.90,Foo Chow Building 21 Tyrwhitt Road #05-08 Singapore 207530,Ms,91723687
10009,Alison Kong,Bronze,,F,94.30,18 Dublin Rd  Singapore 239807,Ms,89408276
10010,Stewart Bi,Bronze,,M,167.10,89 Short Street #08-09 Golden Wall Centre Singapore 188216,Mr,89903273
10011,Marie Pok,Gold,,F,1403.70,3 Phillip St #10-03 Singapore 48693,Ms,93479534
10012,Cameron Ge,Gold,,M,679.80,362 Geylang Road Singapore 389378,Mr,91920032
10013,Winifred Pang,Bronze,,F,77.20,"Blk 13, Haig Rd #01-01 Singapore 430013",Ms,91526241
10014,Allan Chew,Bronze,,M,12.70,"10 Ubi Crescent, #04-89, Ubi Techpark Singapore 408564",Mr,87419479
10015,Mildred Wu,Silver,,F,385.60,36 Pekin St #01-01 Singapore 48766,Ms,89942634
10016,Raymond Quan,Bronze,,M,103.10,"150, Yunnan Cres Singapore 637996",Mr,88322214
10017,Elizabeth Lau,Bronze,,F,142.50,218 Orchard Road 05-02/03 Orc Singapore 238851,Ms,86806807
10018,Ross Win,Gold,,M,1264.10,1 Science Centre Road The Enterprise Singapore 609077,Mr,91581104
10019,Sian Lau,Bronze,,F,8.50,3 Church St #14-02/04 Samsung Hub  Singapore 49483,Ms,91380976
10020,Samuel Foo,Gold,,M,918.70,206 Upper East Coast Road #01-01 Capricorn Block Singapore 455286,Mr,93770336
10021,Brian Leung,Silver,,M,484.70,Balestier Road 04-03 Le Shantier Singapore 329852,Mr,90751362
10022,Sonia Yun,Bronze,,F,264.10,4 Jln Asas Singapore 678762,Ms,87373549
10023,Dean Lye,Bronze,,M,146.80,77 High Street 05-01 High Street Plaza Singapore 179433,Mr,88637307
10024,Daphne Cheung,Bronze,,F,298.90,"Blk 221 Bukit Batok East Ave 3 ,12-174 Singapore 650221",Ms,88878271
10025,Rajiv Chana,Gold,,M,570.90,49 Jalan Pemimpin #05-04 Aps Industrial Building Singapore 577203,Mr,91527110
10026,Stanley Han,Silver,,M,676.60,Octagon System Furniture Pte Ltd 3 Sungei Kadut Crescent Singapore 728686,Mr,88226130
10027,Nicholas Son,Gold,,M,739.80,61 Ubi Avenue 2 08-03 Automobile Megamart Singapore 408898,Mr,86851545
10028,Marion Zhan,Bronze,,F,293.30,315 Outram Road #10-02 Tan Boon Liat Building Singapore 169074,Ms,89098281
10029,Richard ,Bronze,,M,109.50,2 Cheong Chin Nam Road Singapore 599727,Mr,90469541
10030,Ashley Pok,Gold,,M,1327.90,10 Anson Road 34-16 International Plaza Singapore 79903,Mr,91703368
10031,Patrick Pang,Bronze,,M,166.20,612 Telok Blangah Road 05-02 Fairways Singapore 109026,Mr,90380235
